Programs,City,Name,Address,Telephone,Website,age,gender,number 
"Youth Outreach Worker Program, Gang Prevention and Intervention Program",Richmond Hill,360 Kids Support Services (Formerly Pathways),"10415 Yonge <abbr title=""Street"">St</abbr>, Richmond Hill, Ontario, L4C 0Z3","<a href=""tel:905-884-3070"">905-884-3070</a>","<a href=""http://www.360kids.ca"">www.360kids.ca</a>",33,Female,1
Youth Outreach Worker Program,Scarborough,Action for Neighbourhood Change – employed under Yorktown,"3079 Danforth Avenue, Scarborough, Ontario, M1L 1A9","<abbr title=""Not Available"">N/A</abbr>","<abbr title=""Not Available"">N/A</abbr>",25,Female,2
Youth Outreach Worker Program,Brampton,African Canadian Legal Clinic,"7755 Hurontario <abbr title=""Street"">St</abbr>, Suite 310A, Brampton, Ontario, L6W 4T1","<a href=""tel:416-214-4747"">416-214-4747</a>","<a href=""http://www.aclc.net"">www.aclc.net</a>",28,Male,3
Youth Outreach Worker Program,Scarborough,Agincourt Community Services,"4155 Sheppard Ave E, Scarborough, Ontario, M1S 1T4","<a href=""tel:416-321-6912"">416-321-6912</a>","<a href=""http://www.agincourtcommunityservices.com"">www.agincourtcommunityservices.com</a>",29,Male,4
Youth Outreach Worker Program,Toronto,Anishnawbe Health Toronto,"179 Gerrard <abbr title=""Street"">St</abbr> E, Toronto, Ontario, M5A 2E5","<a href=""tel:416-360-0486"">416-360-0486</a>","<a href=""http://www.aht.ca/about"">www.aht.ca/about</a>",51,Female,5
Youth Outreach Worker Program,Toronto,Black Action Defence Committee,"944 <abbr title=""Saint"">St</abbr> Clair Ave W, Toronto, Ontario, M6C 1C8","<a href=""tel:416-656-2232"">416-656-2232</a>","<a href=""http://blackactiondefence.weebly.com"">blackactiondefence.weebly.com</a>",49,Female,6
Youth Outreach Worker Program,Oshawa,Boys & Girls Club of Durham Region,"433 Eulalie Ave, Oshawa, Ontario, L1H 2C6","<a href=""tel:905-728-5121"">905-728-5121</a>","<a href=""http://www.bgcdurham.com"">www.bgcdurham.com</a>",44,Male,7
Youth Outreach Worker Program,Scarborough,Boys & Girls Club of East Scarborough,"100 Galloway Rd, Scarborough, Ontario, M1E 1W7","<a href=""tel:416-281-0262"">416-281-0262</a>","<a href=""http://www.esbgc.org"">www.esbgc.org</a>",24,Female,8
Youth Outreach Worker Program,Ottawa,Boys & Girls Club of Ottawa,"430 McArthur Ave, Ottawa, Ontario, K1K 1G5","<a href=""tel:613-746-8517"">613-746-8517</a>","<a href=""http://www.bgcottawa.org"">www.bgcottawa.org</a>",47,Female,9
Youth Outreach Worker Program,Ajax,Carea Community Health Centre,"360 Bayly <abbr title=""Street"">St</abbr> W, Ajax, Ontario, L1S 1P1","<a href=""tel:905-428-1212"">905-428-1212</a>","<a href=""http://theyouthcentre.ca"">theyouthcentre.ca</a>",45,Male,10
Youth Outreach Worker Program,North York,"Caribbean African Canadian Social Services (<abbr title=""Caribbean African Canadian Social Services"">CAFCAN</abbr>)","995 Arrow Rd, North York, Ontario, M9M 2Z5","<a href=""tel:416-746-5772"">416-746-5772</a>","<a href=""http://www.cafcan.org"">www.cafcan.org</a>",50,Male,11
Youth Outreach Worker Program,Thunder Bay,Children Centre Thunder Bay,"283 Lisgar <abbr title=""Street"">St</abbr>, Thunder Bay, Ontario, P7B 6G6","<a href=""tel:807-343-5000"">807-343-5000</a>","<a href=""http://youthlink.ca"">youthlink.ca</a>",29,Female,12
Youth Outreach Worker Program,Toronto,Delisle Youth Services,"40 Orchard View <abbr title=""boulevard"">Blvd</abbr>, Toronto, Ontario, M4R 1B9","<a href=""tel:416-482-0081"">416-482-0081</a>","<a href=""http://www.delisleyouth.org"">www.delisleyouth.org</a>",40,Female,13
Youth Outreach Worker Program,Thunder Bay,Dilico / Franklin Dennis Cromarty High School,"315 North Edward <abbr title=""Street"">St</abbr>, Thunder Bay, Ontario, P7C 4P3","<a href=""tel:807-623-8914"">807-623-8914</a>","<a href=""http://www.nnec.on.ca"">www.nnec.on.ca</a>",32,Male,14
Youth Outreach Worker Program,Thunder Bay,Dilico Anishinabek Family Care,"200 Anemki Place, Thunder Bay, Ontario, P7J 1H9","<a href=""tel:807-623-8511"">807-623-8511</a> or <a href=""tel:1-855-623-8511"">1-855-623-8511</a>","<a href=""http://www.dilico.com"">www.dilico.com</a>",30,Male,15
Youth Outreach Worker Program,Oshawa,Durham Family Court Clinic,"44 Richmond <abbr title=""Street"">St</abbr> W, Oshawa, Ontario, L1G 1C7","<a href=""tel:905-436-6754"">416-438-3697</a>","<a href=""http://www.dfcc.org"">www.dfcc.org</a>",50,Male,16
